"Component","baseline","scn_covariate","ar1","ar1_nugget","ta","tps"
"block","205469.0 (114417.1)","134798.8 (77434.7)","109761.6 (71264.1)","0.11 (NA)","0.02 (NA)","0.01 (NA)"
"wp","0.01 (NA)","5890.1 (17120.9)","0.01 (NA)","0.02 (NA)","0.05 (NA)","0.03 (NA)"
"units!R","120231.7 (19380.8)",NA,NA,NA,NA,NA
"row_f:col_f!R",NA,"94402.3 (20883.7)","115104.2 (24919.2)","178042.1 (116217.4)","67731.2 (45563.4)","60753.8 (11798.2)"
"row_f:col_f!row_f!cor",NA,NA,"0.41 (0.12)","0.95 (0.05)","0.92 (0.08)",NA
"units!units",NA,NA,NA,"55539.8 (13261.2)","61306.9 (13900.2)",NA
"grp(TP.R.1_fcol)",NA,NA,NA,NA,NA,"1888338.7 (2208686.6)"
"grp(TP.R.2_fcol)",NA,NA,NA,NA,NA,"1439410.9 (2112694.5)"
"grp(TP.C.1_frow)",NA,NA,NA,NA,NA,"1801.6 (2851.7)"
"grp(TP.C.2_frow)",NA,NA,NA,NA,NA,"1602.5 (2205.5)"
"grp(TP_fcol_frow)",NA,NA,NA,NA,NA,"126818.8 (138945.5)"
